model,term,coefficient,std_error_hc3,ci_95_low,ci_95_high,p_value,term_label
Gabungan,maturity_per_10,-4.271401310979731,0.6922661618882776,-5.63456338066493,-2.908239241294532,2.601339267816472e-09,Kematangan digital (per 10 poin)
Gabungan,rme_bin,-5.3883940770482655,6.851848608195658,-18.880574749927984,8.103786595831451,0.43234077660523834,Implementasi RME
Gabungan,satusehat_bin,7.947022125174852,5.478428002334938,-2.840714825471414,18.734759075821117,0.14809587413663494,Terhubung SatuSehat
Kematangan saja,maturity_per_10,-4.167768348862442,0.7024364925378367,-5.550907748844797,-2.784628948880086,9.362977275604085e-09,Kematangan digital (per 10 poin)
RME saja,rme_bin,-1.0802130277759285,5.183113668582757,-11.286073352177771,9.125647296625916,0.8350707283304588,Implementasi RME
SatuSehat saja,satusehat_bin,2.0794869157141465,3.8494298777616676,-5.5002703832912605,9.659244214719553,0.589513540150858,Terhubung SatuSehat
